Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
2575,"Well, you never told me how old you were.",Young Ethan,neutral,255,3,1,22,"00:12:48,684","00:12:51,352"
2581,Sorry.,Young Ethan,sadness,255,9,1,22,"00:13:04,950","00:13:06,951"
2582,"Well,fall out of it.",Monica,anger,255,10,1,22,"00:13:07,745","00:13:09,162"
2597,"Oh Phoebe, that’s a great story.",Rachel,neutral,256,9,8,22,"0:02:12,453","0:02:13,955"
2617,"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I",Monica,neutral,258,5,5,3,"00:07:28,781","00:07:42,085"
2621,MY SANDWICH?!!!,Ross,anger,259,2,5,9,"0:13:31,977","0:13:34,105"
2634,"Well, are any of those people here?!",Phoebe,anger,260,11,3,25,"00:14:48,095","00:14:51,222"
2636,"I knew it, wow!!",Phoebe Sr.,surprise,261,1,4,1,"00:19:08,021","00:19:10,064"
2647,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.",Chandler,sadness,262,3,1,5,"0:15:27,176","0:15:42,448"
2665,"Oh, why don’t you make her one of your little jokes.",Ross,anger,264,7,6,17,"00:09:49,630","00:09:52,048"
2670,I made it in the sixth grade.,Ross,neutral,264,12,6,17,"0:10:02,018","0:10:03,374"
2695,"Well, I brought the next best thing.",Rachel,neutral,270,3,5,16,"00:15:32,765","00:15:34,223"
2703,Well? Aren't you gonna do something?,Katie,neutral,271,7,5,15,"00:15:32,723","00:15:35,224"
2713,I,Phoebe,neutral,272,6,6,1,"00:14:50,139","00:14:51,890"
2723,You told me.,Phoebe,surprise,273,7,6,23,"00:00:18,685","00:00:19,768"
2770,"Uhh, I don’t believe in these crazy diets y’know, just everything in moderation.",Joey,neutral,277,0,8,19,"00:10:49,608","00:10:55,781"
2780,"Y’know, I was worried, that, you know, they would maybe an unbearable living situation.",Phoebe,neutral,278,3,7,10,"00:07:56,017","00:08:00,687"
2786,"Whoa-whoa, Treeger made you cry?",Joey,surprise,279,0,4,4,"00:02:51,880","00:02:54,715"
2791,"All right that’s it, school is in session!",Joey,neutral,279,5,4,4,"00:03:09,772","00:03:13,108"
2792,My God! Is this a gym card?,Monica,surprise,279,6,4,4,"00:03:15,361","00:03:17,863"
2807,Anybody gonna eat that?,Joey,neutral,280,2,5,12,"00:02:25,478","00:02:27,271"
2810,"Listen, you know how uh, when you’re wearing pants and you lean forward I check out your underwear?",Joey,neutral,281,2,7,22,"00:07:58,144","00:08:03,565"
2831,I don’t know.  A cowboy theme?,Phoebe,neutral,284,2,7,19,"0:05:18,826","0:05:21,627"
2842,"I’m sorry honey, what were you saying?",Rachel,neutral,285,10,9,1,"0:08:45,608","0:08:47,193"
2846,She looks scared.,Rachel,neutral,285,14,9,1,"0:08:59,705","0:09:00,957"
2875,Did you tell your sister to ask me out?,Ross,neutral,288,9,6,13,"00:16:00,250","00:16:02,502"
2877,Oh wow!,Ross,surprise,288,11,6,13,"0:16:04,564","0:16:05,456"
2892,Chandler?,Phoebe,neutral,289,5,7,13,"00:09:56,554","00:09:58,138"
2915,"Okay, but if I got to turn on the charm tomorrow I’m not wasting anymore of it over here with you guys.",Joey,neutral,293,7,6,21,"00:13:13,542","00:13:18,087"
2928,"No, I’m gonna!!",Joey,anger,295,5,7,11,"00:14:00,881","00:14:02,423"
2936,"Well, she graduated from high school!",Joey,anger,295,13,7,11,"00:14:23,737","00:14:26,364"
2945,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross,neutral,296,0,1,2,"00:14:38,085","00:14:41,546"
2948,How could I forget?,Ross,surprise,296,3,1,2,"0:14:46,690","0:14:47,832"
2956,"Okay, that's great.  No, I'm- Oh.",Ross,joy,296,11,1,2,"00:15:09,450","00:15:14,704"
2961,C'mon in.,Barry,neutral,296,16,1,2,"0:15:46,279","0:15:48,348"
2964,Huh?!,Robbie,surprise,296,19,1,2,"00:15:52,326","00:15:53,493"
2965,"So, how ya doin?",Barry,neutral,296,20,1,2,"00:15:56,705","00:15:58,414"
2988,I’ve got five bucks says you can’t.,Chandler,neutral,299,3,3,5,"00:21:51,935","00:21:54,562"
2998,"Oh, shut up. You know, it's a rebuilding year. You... waah!",Lydia,anger,300,9,1,23,"00:04:08,081","00:04:11,875"
3030,"No, I can spot you from here.",Phoebe,neutral,302,8,3,13,"00:17:26,962","00:17:29,505"
3033,I don’t have time for this.,Phoebe,anger,303,0,2,5,"00:11:10,795","00:11:12,921"
3038,"Oh, just this!  Y’know what it’s my fault really, because the couch is usually where we",Chandler,neutral,304,3,3,5,"00:11:21,430","00:11:37,529"
3049,"Uh, y'know what, we’re having second thoughts about our copying needs. And we’ll need a little more time to think about it.",Joey,neutral,305,3,3,15,"00:02:44,622","00:02:54,756"
3055,Both of us?,Joey,surprise,305,9,3,15,"00:03:11,983","00:03:13,358"
3058,We’ll be there.,Joey,joy,305,12,3,15,"00:03:24,037","00:03:25,996"
3073,"No! Y’know,",Monica,neutral,307,3,4,17,"00:04:16,673","00:04:18,000"
3074,Is that why in junior high you were the only one that hung out with that Ukrainian kid?,Ross,neutral,307,4,4,17,"00:04:25,098","00:04:29,601"
3084,So basically this is very easy. You read from the script and try to sell as much toner as you possibly can.,Supervisor,neutral,308,0,7,13,"00:04:13,544","00:04:19,341"
3086,Why don’t we do a trial run.,Supervisor,neutral,308,2,7,13,"00:04:25,014","00:04:28,141"
3112,Oh!,Rachel,surprise,311,10,4,9,"00:00:37,078","00:00:38,746"
3128,What?!,Ross,sadness,312,13,3,25,"00:17:07,609","00:17:08,735"
3133,But I made cards!!,Joey,sadness,312,18,3,25,"00:17:31,967","00:17:34,052"
3155,Remember that guy from cooking school I told you about that put cilantro with everything?,Monica,neutral,315,0,4,9,"00:01:38,056","00:01:41,308"
3169,Hello.,Joey,neutral,316,3,4,8,"00:00:16,516","00:00:18,100"
3174,"What is the name of your roommate who is very, very sorry and would do anything",Voice,neutral,316,8,4,8,"00:00:35,869","00:00:41,874"
3180,"Hey, y’know what nickname never caught on? The Ross-A-Tron!",Ross,joy,317,5,7,11,"0:03:48,228","0:03:51,750"
3197,"Ooh, nice.",Monica,joy,319,1,3,23,"00:17:40,476","00:17:42,977"
3198,"So ah, there was this thing I wanted to talk to you about.",Pete,neutral,319,2,3,23,"00:17:43,145","00:17:46,564"
3232,"Or with the other two women, in the morning y’know I was just lying there and I couldn’t wait to just go hang out with my friends, but with you I always y’know with a friend.",Chandler,neutral,320,11,6,16,"00:20:36,944","00:20:48,287"
3234,"I know you probably don’t want to go out with me, y’know because I make too many jokes and I’ve never been in a serious relationship and I guess I’m not technically a ""doctor…""",Chandler,sadness,320,13,6,16,"00:20:49,122","00:20:59,423"
3267,Now you know how you really feel about it.,Phoebe,neutral,326,3,8,1,"0:21:03,178","0:21:05,100"
3271,With who?,Phoebe,neutral,326,7,8,1,"0:21:30,330","0:21:30,789"
3296,Oh really?! Then how come all your stuff is in this box?!,Rachel,surprise,329,5,6,6,"00:13:15,628","00:13:18,671"
3298,No Phoebe I am mad!,Monica,anger,329,7,6,6,"0:13:33,854","0:13:35,106"
3329,Wait a minute!,Ross,surprise,332,11,8,1,"0:22:05,407","0:22:06,089"
3339,"Only the people in the white coats sit over there,  and only the people in the blue blazers sit here.",Tour Guide,neutral,333,4,4,11,"00:10:27,376","00:10:34,758"
3345,"Oh no it’s fine, don’t worry about it.",Kathy,neutral,334,5,4,7,"00:10:11,736","00:10:14,613"
3361,"Ross, but me down for another box of the mint treasures, okay. Where, where are the mint treasures?",Monica,neutral,336,2,3,10,"00:12:13,649","00:12:20,071"
3366,"No, just, just, just a couple more boxes.",Monica,anger,336,7,3,10,"00:12:29,915","00:12:35,211"
3370,Oh God!,Monica,sadness,336,11,3,10,"00:12:48,184","00:12:49,225"
3373,"Oh my God, how did you do that?",Chandler,surprise,336,14,3,10,"00:12:55,566","00:12:59,819"
3387,Score! Where are the disposable cameras?,Chandler,joy,337,5,8,2,"00:03:12,442","00:03:18,488"
3388,What disposable cameras?,Ross,sadness,337,6,8,2,"00:03:15,236","00:03:18,488"
3389,The cameras? Remember last night I told you to take them?,Chandler,surprise,337,7,8,2,"00:03:18,656","00:03:20,699"
3392,"Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check.",Ross,neutral,337,10,8,2,"00:03:25,246","00:03:31,001"
3396,So you don’t have the cameras?!,Chandler,surprise,337,14,8,2,"0:03:40,512","0:03:43,464"
3408,"This-this, no, oh no, no-no-no, this is not—that’s-that’s not what it is.",Rachel,joy,338,4,4,18,"00:15:53,994","00:15:58,873"
3424,Enough!,Monica,anger,339,3,4,10,"00:21:02,010","00:21:03,469"
3425,Lean lean lean,Joey,joy,339,4,4,10,"00:21:04,846","00:21:07,390"
3430,"No! No, fear of the number 13.",Joey,neutral,342,2,8,20,"00:07:28,936","00:07:33,316"
3442,"Choose, you jackass!",Joey,anger,342,13,8,20,"0:08:05,765","0:08:08,702"
3443,I’ll take a card.,Chandler,neutral,342,14,8,20,"00:08:09,644","00:08:13,272"
3452,Okay.,Joey,neutral,344,2,5,17,"0:02:17,554","0:02:19,218"
3461,She's waving me over.,Joey,joy,344,11,5,17,"0:02:52,673","0:02:53,765"
3462,"Okay, I-I-I'll be right over.",Joey,joy,344,12,5,17,"0:02:53,765","0:02:55,362"
3475,"Yeah okay, I was just talking to the guys. Just look at them I mean, is it okay if they come visit?",Chandler,neutral,346,4,6,20,"00:09:12,301","00:09:17,722"
3488,Monica!,Phoebe,sadness,347,10,4,1,"0:05:12,270","0:05:13,022"
3496,Hey!,Monica,joy,349,0,9,19,"0:01:52,488","0:01:53,420"
3501,I'd love to!,Ross,joy,349,5,9,19,"0:02:00,253","0:02:00,463"
3510,"No, I mean it, this feels really good. Is it a hundred percent cotton?",Chandler,joy,350,2,3,6,"00:19:01,390","00:19:13,568"
3512,"Anyway, I should go, one of the lifeguards was just about to dismantle a nuclear device.",Chandler,neutral,350,4,3,6,"00:19:16,780","00:19:22,243"
3518,Who did?!,Ross,surprise,351,2,8,8,"0:11:39,115","0:11:39,797"
3521,Oh? Really? That’s what my daughter means to you? Nothing?,Dr. Green,anger,351,5,8,8,"00:11:46,706","00:11:50,583"
3526,Hey! I offered to marry her!,Ross,anger,351,10,8,8,"0:12:04,598","0:12:06,480"
3531,"I’m sorry. Dr. Green, Mona. Mona, Dr. Green.",Ross,joy,351,15,8,8,"00:12:15,276","00:12:18,820"
3553,How did this happen?,Rachel,neutral,354,12,2,3,"00:03:42,388","00:03:44,806"
3556,I know. I was sweeping yesterday. It coulda been me.,Mr. Treeger,neutral,354,15,2,3,"00:03:52,523","00:04:00,197"
3562,I'm free! I'm free!,Chandler,joy,355,3,1,5,"00:22:28,347","00:22:30,598"
3579,I'm going into business people.,Monica,neutral,356,15,3,3,"0:02:04,124","0:02:05,546"
3583,Jam.,Monica,neutral,356,19,3,3,"0:02:12,257","0:02:14,159"
3586,This will just be my batch.,Joey,neutral,356,22,3,3,"00:02:25,395","00:02:27,396"
3591,Here you go Pheebs. Who else wants one of my special homemade brownies?,Rachel,neutral,358,0,3,8,"00:00:03,712","00:00:06,338"
3619,"Yeah, I know, it's my birthday. We all should be here.",Ross,sadness,360,1,2,5,"00:17:32,301","00:17:35,595"
3622,"Yeah, I mean, it would be rude to them  for us to leave now.",Chandler,neutral,360,4,2,5,"00:17:46,940","00:17:49,776"
3626,Celebrities I’m allowed to sleep with.,Ross,neutral,361,2,3,5,"00:08:22,210","00:08:25,128"
3629,"All right, so who do you got it narrowed down to?",Chandler,neutral,361,5,3,5,"00:08:30,468","00:08:32,135"
3630,"Okay, Elizabeth Hurely....",Ross,joy,361,6,3,5,"00:08:32,303","00:08:34,930"
3632,Susan Sarandon.,Ross,neutral,361,8,3,5,"00:08:41,145","00:08:42,854"
3642,Oh. Look at you making up crap for me. Oh God!,Rachel,sadness,362,3,8,24,"00:04:41,561","00:04:46,733"
3645,"Actually, I think you’re ready to go to the delivery room.",Dr. Long,neutral,362,6,8,24,"00:05:02,957","00:05:05,960"
3653,May I see your boarding pass?,Flight Attendant,neutral,365,1,1,24,"00:12:03,389","00:12:04,848"
3664,"It's from Rachel. She said that she loved the present, and she will see you when you get back.",Flight Attendant,neutral,365,12,1,24,"00:12:35,129","00:12:39,007"
3676,Oh my god.  How many of those have you had?,Phoebe,surprise,366,8,1,5,"00:19:47,853","00:19:53,191"
3677,"Oh, I don't know, a million?",Chandler,anger,366,9,1,5,"00:19:53,442","00:19:55,610"
3679,I'm fine.,Chandler,neutral,366,11,1,5,"0:20:03,285","0:20:04,047"
3691,"Okay, now much have you won so far?",Chandler,neutral,367,4,6,6,"00:13:54,041","00:13:56,417"
3692,"Uh,  wow, 700.",Joey,surprise,367,5,6,6,"0:13:57,086","0:13:58,638"
3710,Hey.,Joey,neutral,371,0,3,3,"0:19:36,049","0:19:36,471"
3723,"Nothing, nothing.",Phoebe,joy,372,1,1,13,"0:19:08,189","0:19:09,452"
3726,It's my friends.,Phoebe,sadness,372,4,1,13,"00:19:18,991","00:19:20,950"
3727,They-they have a liking problem with you.,Phoebe,sadness,372,5,1,13,"00:19:21,201","00:19:23,870"
3745,What?,Monica,surprise,374,2,8,3,"00:15:25,591","00:15:27,091"
3753,I mean you’re not the only ones on your honeymoon!,Monica,anger,374,9,8,3,"00:15:46,487","00:15:49,530"
3772,"Oh, uh does anyone know where the Freeman building is?",Ross,neutral,377,2,8,12,"00:05:51,684","00:05:55,187"
3791,"No-no, I say-I say, I say we get back at him right on this couch.",Mark,neutral,380,0,6,10,"00:15:24,590","00:15:29,594"
3802,Y’know it wouldn’t kill ya to respect your wife’s privacy!,Joey,joy,383,2,8,14,"00:09:37,280","00:09:40,960"
3807,"When my sisters were pregnant they got every weird feeling in the book, it was always nothing.",Joey,neutral,383,5,8,14,"00:09:54,240","00:09:59,840"
3814,Here we go.,Joey,neutral,383,10,8,14,"00:10:11,000","00:10:12,280"
3848,I can’t leave it! You gouged a hole in my dingy floor.,Monica,anger,388,14,3,5,"00:06:40,024","00:06:44,778"
3860,Pheebs...,Rachel,neutral,389,9,4,2,"0:12:38,424","0:12:39,026"
3884,"Liam, do me a favour. Tell the lads to go easy on Ross, it’s his first time.",Emily,neutral,393,2,4,15,"00:12:25,536","00:12:30,665"
3895,All right! All right! It was the best nap ever!,Ross,joy,395,3,7,6,"00:09:04,919","00:09:07,963"
3900,Why not?,Joey,neutral,395,8,7,6,"00:09:21,644","00:09:24,354"
3907,"Ok, I've got milk  Here you go...  Oh! Better?",Phoebe,anger,398,2,1,12,"00:14:43,924","00:15:01,733"
3924,The end.,Phoebe,neutral,400,4,1,12,"00:16:13,722","00:16:15,223"
3933,"Ah, oh, hang on a second.  Come in, come in.  All right, so think about it, and call me back.",Phoebe Sr,neutral,401,4,3,25,"00:05:15,815","00:05:20,068"
3950,"If you need money, will you please-please just let me loan you some money?",Chandler,neutral,404,5,6,12,"00:02:55,675","00:02:58,886"
3965,"Oh good, okay, I can't take it anymore.",Chandler,neutral,405,0,5,11,"0:21:38,964","0:21:42,066"
3979,"Aw, dammit!",Phoebe,surprise,407,3,5,4,"00:14:00,422","00:14:02,340"
3980,Back on in 30 seconds people!,Stage Director,neutral,407,4,5,4,"00:14:03,717","00:14:06,052"
3983,Come on man! You've been here all day!,Joey,anger,407,7,5,4,"0:14:19,358","0:14:21,194"
3996,Hi guys!,Chandler,joy,409,3,4,16,"0:02:13,508","0:02:14,010"
4000,Without me?!,Chandler,surprise,409,7,4,16,"00:02:21,057","00:02:22,432"
4005,I can't believe you'd rather go out with him than me.,Ross,surprise,410,1,1,24,"00:19:02,391","00:19:06,602"
4013,"Rachel, come on. Give us a chance.",Ross,neutral,410,9,1,24,"00:19:35,090","00:19:38,593"
4023,"Hello?  No she can’t come to the phone right now.  Oh, right no problem. Okay, bye-bye.",Ross,neutral,411,0,6,15,"00:19:45,100","00:19:50,688"
4026,Thank God.,Phoebe,joy,411,3,6,15,"00:19:59,114","00:20:00,656"
4036,Why? I love that thing.,Rachel,joy,412,8,4,2,"0:04:40,196","0:04:41,658"
4039,"Ahh, Gepeto, $5,000 dollars? Are you insane?",Chandler,surprise,412,11,4,2,"00:04:50,623","00:04:52,416"
4041,"All right look, I’m changing it to 50 bucks, or your best offer.",Chandler,neutral,412,13,4,2,"00:04:55,712","00:05:00,757"
4067,Okay?,Joey,neutral,415,4,5,22,"0:06:39,195","0:06:39,577"
4094,No.,Cliff,neutral,418,14,8,23,"00:18:17,000","00:18:17,876"
4097,Yes.,Joey,neutral,418,17,8,23,"00:18:29,263","00:18:30,806"
4098,Well uh if you must know I’m a widower.,Cliff,sadness,418,18,8,23,"00:18:32,015","00:18:35,269"
4112,Okay.,Joey,neutral,421,0,8,16,"0:13:02,406","0:13:06,288"
4132,"He's uh, he's in a whole other place.",Monica,neutral,423,2,1,23,"0:11:32,400","0:11:34,122"
4134,"No no, you don't have to fly back, really.",Monica,neutral,423,4,1,23,"00:11:37,113","00:11:40,281"
4139,"Oh, just had a baby.",Joey,joy,423,9,1,23,"0:12:02,072","0:12:04,400"
4140,Mazel tov!,Chandler,joy,423,10,1,23,"00:12:05,683","00:12:07,684"
4146,"Yeah, this is someone else I meet, and I-I can’t decide between the two of them.",Ross,neutral,424,4,4,10,"00:09:17,348","00:09:21,935"
4168,"Listen, I’m sorry about that whole thing with Roger.",Phoebe,sadness,426,1,8,11,"00:21:10,852","00:21:15,731"
4170,"Now, this is just a loan.",Phoebe,neutral,426,3,8,11,"0:21:31,790","0:21:33,083"
4183,"Wait, now, what am I doing again?",Monica,surprise,428,3,4,14,"00:21:34,710","00:21:36,043"
4190,"Oh, uh, I... don't... care.",Chandler,neutral,429,1,1,14,"00:03:21,000","00:03:23,452"
4217,"Well, we thought we would all go to a picnic , in Central Park!",Monica,joy,431,7,5,2,"00:14:41,547","00:14:48,887"
4237,Yeah I know.,Ross,neutral,434,3,8,5,"0:19:41,680","0:19:44,006"
4245,"Hey, I thought I cheered you up.",Ross,neutral,434,11,8,5,"00:20:23,889","00:20:25,848"
4265,What are they doing out here? The coast’s all the way over there.,Joey,surprise,436,5,7,3,"00:06:33,810","00:06:39,231"
4279,Ha-ha,Joey,joy,438,9,3,13,"0:19:08,781","0:19:09,534"
4293,"Ok, so now we need, um sage branches and the sacramental wine.",Phoebe,neutral,440,0,1,14,"00:12:37,173","00:12:42,093"
4329,"Oh, hey, look, I found coffee!  Okay, let’s skedaddle.",Phoebe,neutral,443,4,3,17,"00:01:53,655","00:01:57,449"
4338,"Yeah, the Knicks by 10. They suck.",Guy,neutral,444,5,1,23,"00:13:47,409","00:13:50,954"
4360,Is that it?,Dr. Green,anger,445,19,8,8,"0:08:56,286","0:08:58,975"
4379,I mean why am I only attracted to guys where there’s no future?,Monica,sadness,446,16,3,19,"00:10:42,224","00:10:45,018"
4385,"So, we’re walking down the street and I turn to you and I say, “Hey, let’s go hang out at Totally Nude Nudes,” remember?",Joey,neutral,447,1,3,18,"00:09:10,174","00:09:16,930"
4386,"And then, and then, you turn to me and say, “Nah, let’s just hang out at your place.” Well, that was a nice move dumb ass.",Joey,joy,447,2,3,18,"00:09:17,098","00:09:23,353"
4393,"""I’m Monica, I don’t get phone messages from interesting people. Ever!""",Rachel,anger,448,6,6,6,"00:10:28,419","00:10:31,963"
4394,Hey! I call her!,Phoebe,joy,448,7,6,6,"00:10:32,131","00:10:33,632"
4395,"""Oh my God, I love Ross! I hate Ross! I love Ross! I hate Ross!""",Monica,anger,448,8,6,6,"00:10:34,842","00:10:40,388"
4403,It’s just that I,Ross,joy,449,4,8,17,"0:20:56,678","0:20:57,973"
4422,"I know it’s a little sudden, and it’s a little rushed, and it’s totally not like me to do something like this, but that doesn’t mean I can’t.",Monica,joy,450,9,3,23,"00:14:02,341","00:14:11,432"
4429,"No, that was my way of telling you.",Phoebe,neutral,450,16,3,23,"00:14:39,128","00:14:41,045"
4436,So… It’s really just about the math.,Phoebe,neutral,450,23,3,23,"00:15:09,742","00:15:15,371"
4448,"Yeah, I mean I was up sick all night.",Rachel,neutral,452,1,8,12,"0:16:01,710","0:16:05,089"
4465,"Oh my god, are you kidding?",Julie,surprise,455,7,2,2,"00:20:21,303","00:20:23,179"
4471,"Yeah, that'd be great. I'd love it.",Rachel,joy,455,13,2,2,"00:21:36,336","00:21:39,297"
4497,I had a bra.,Rachel,neutral,457,9,1,20,"00:07:16,602","00:07:18,645"
4533,"No, an entertainment unit, with a mail cubby built right in. It’s a one day job, max.",Joey,neutral,462,7,3,5,"00:00:31,489","00:00:42,041"
4542,Well I’ve forgotten what it tastes like okay?!,Chandler,anger,463,5,7,11,"00:05:13,396","00:05:16,106"
4564,All our love Monica and Chandler.,Rachel,neutral,464,13,7,14,"0:11:40,783","0:11:43,755"
4607,"Phoebe, Sandra’s mad at you too. It-it doesn’t bother you?",Monica,surprise,468,9,8,20,"00:05:08,963","00:05:12,967"
4617,Later.,Ross,neutral,471,6,8,23,"0:06:37,177","0:06:37,314"
4641,"Well now, I get to spend my shower with the only people I really love!",Monica,joy,474,14,7,19,"00:19:45,642","00:19:50,229"
4642,"I mean, I get all those presents  without having to talk to people I don’t even like!",Monica,joy,474,15,7,19,"00:19:50,397","00:19:55,234"
4646,"I can't believe it's raining again! Oh, it's so unfair!!!",Monica,anger,475,0,9,23,"00:31:14,998","00:31:18,083"
4649,You got it going on!,Phoebe,joy,475,3,9,23,"00:31:29,220","00:31:31,680"
4651,They have a game room downstairs! Ping pong and stuff.,Mike,neutral,475,5,9,23,"00:31:34,976","00:31:39,479"
4658,I punched you...?,Monica,surprise,475,12,9,23,"00:31:58,291","00:32:00,208"
4668,What?! Oh my...  Oh my God!! What happened?!,Phoebe,surprise,476,5,3,20,"00:19:25,706","00:19:28,624"
4680,"So Ross, how umm, how did it go with Bonnie?",Phoebe,neutral,477,4,3,24,"00:14:20,067","00:14:23,194"
4691,"Hey, the fight’s starting!",Joey,joy,477,13,3,24,"00:14:56,979","00:14:59,230"
4695,"But, it’s gonna be okay, because as of tomorrow I’m conducting an experiment, and if all goes as planned, my butt will be smack free.",Chandler,neutral,477,17,3,24,"00:15:11,785","00:15:15,747"
4698,"Yeah! And also, a little like a French guy.  I never noticed that before.",Joey,surprise,478,1,6,24,"00:19:29,877","00:19:39,135"
4706,Well that’s a little crazy. Although I am y’know glad to hear that you’re branching out on what you look at on the Internet.,Monica,neutral,478,8,6,24,"00:20:01,074","00:20:07,038"
4710,Okay well that’s good to know.,Monica,sadness,478,12,6,24,"00:20:23,055","00:20:25,097"
4735,You wanna fool around with Joey?,Monica,surprise,481,0,9,20,"0:01:58,856","0:02:00,328"
4777,"I turned it off. Mother of God, I turned it off!",Chandler,anger,483,6,1,20,"00:16:44,586","00:16:48,965"
4782,"""Heating device.""",Ross,neutral,483,11,1,20,"00:17:12,281","00:17:13,823"
4786,"Yeah, is Sidney there?  Oh, this is?  Sidney's a woman.",Joey,surprise,483,15,1,20,"00:17:24,376","00:17:31,966"
4806,"I’m sorry man, there’s never a good time to  stop catching on fire.",Chandler,sadness,486,14,6,4,"00:06:54,622","00:06:59,793"
4828,Are you're hands still wet?,Ross,neutral,492,1,1,22,"0:19:29,042","0:19:30,210"
4832,Still crying?,Monica,surprise,493,1,6,23,"0:09:39,787","0:09:40,747"
4849,"Yeah, we are definitely on Route 27.",Rachel,neutral,496,0,3,17,"00:13:34,438","00:13:37,440"
4850,"Okay.  We are at a rest stop on Route 27. Okay.  There is no Route 27.   Okay, either 93 or 76?",Phoebe,neutral,496,1,3,17,"00:13:37,650","00:13:45,365"
4856,"Ugh, okay, well somebody will come and save us.",Rachel,neutral,496,6,3,17,"00:14:03,843","00:14:05,677"
4859,"I think we should call Ross, maybe he can get a car and come pick us up.",Monica,neutral,496,9,3,17,"00:14:09,515","00:14:12,600"
4901,"Yeah, I’m sorry man.  You wanna go watch?",Chandler,neutral,500,0,6,11,"00:20:55,295","00:21:01,842"
4906,Ohh that’s nice.,Rachel,joy,501,3,7,5,"00:11:39,365","00:11:41,116"
4931,Okay! Come on! Let's go! All right!,Chandler,joy,503,8,5,24,"0:12:13,483","0:12:14,011"
4953,Cut me a real piece!,Joey,anger,504,13,8,9,"0:21:45,697","0:21:46,903"
4975,"I can’t, you’re a totally different person to me now.",Rachel,sadness,506,5,3,16,"00:21:08,684","00:21:11,852"
4987,Just a touch.,Rachel,neutral,507,5,1,22,"0:05:39,439","0:05:42,013"
5011,"Y'know, that's-that's fine, but the line is, ""Hmm, soup.""",The Casting Director,neutral,508,11,5,18,"00:16:56,181","00:16:59,559"
5028,"Well then we’d be in a lot of trouble, you don’t know where any countries are.",Ross,neutral,509,5,8,23,"00:01:26,866","00:01:29,994"
5041,"Yeah, it couldn’t hurt to look.",Rachel,neutral,509,16,8,23,"0:02:03,487","0:02:04,758"
5083,"Well, here's your phone doctor.",Stage Director,neutral,514,7,5,4,"00:07:48,593","00:07:51,136"
5085,Hey Gunther. Hi.  I mean you’re going out on a date with the noisy guy upstairs?,Monica,surprise,515,1,3,11,"00:05:59,525","00:06:04,696"
5098,Oh wait! Stop! Stop! Stop!,Monica,joy,516,1,8,10,"0:17:08,861","0:17:13,741"
5109,"Yeah, say my name. Say it!  And now I’m going to cover you back up, and umm we’re never doing this again.",Phoebe,joy,517,6,8,14,"00:22:02,040","00:22:22,160"
5115,"You look at me, and nothin’.",Joey,neutral,518,5,3,19,"00:19:28,375","00:19:31,085"
5118,"Well, that was ah...",Kate,neutral,518,8,3,19,"00:20:01,283","00:20:03,618"
5120,Do you know what just happened?,Chandler,anger,519,1,7,12,"00:15:14,622","00:15:16,831"
5124,"Don't worry, Chandler, it's not a globe of the United States.",Joey,neutral,520,0,7,8,"00:04:07,288","00:04:10,249"
5125,Hey you guys I'm gonna go out and take a walk.,Phoebe,neutral,520,1,7,8,"00:04:17,966","00:04:20,592"
5138,Rach?,Phoebe,surprise,522,0,7,18,"00:20:57,047","00:20:58,089"
5161,"Hey, Chandler, that table place closes at 7, come on.",Joey,neutral,523,16,1,12,"00:10:25,249","00:10:28,418"
5176,Yes.,Phoebe,neutral,524,7,3,10,"0:07:43,047","0:07:43,689"
5181,Well we have to make room for the fresh ones.,Joey,neutral,524,12,3,10,"0:07:59,437","0:08:01,329"
5185,Hey! Hey!!,Joey,surprise,524,16,3,10,"00:08:21,626","00:08:23,418"
5189,"Oh please, they're having sex.",Rachel,sadness,525,3,1,4,"00:16:46,171","00:16:48,965"
5201,"Oh no, no, no, wait, wait, Isabella.",Ross,joy,526,5,3,5,"00:20:36,652","00:20:40,821"
5206,May I see it?,Isabella,neutral,526,10,3,5,"0:20:50,797","0:20:52,059"
5218,Get out of here you lurker!  Go on! Get!,Phoebe,anger,527,0,5,24,"00:08:00,313","00:08:04,065"
5224,We have one.,Monica,neutral,527,6,5,24,"0:08:20,500","0:08:21,682"
5226,"Oh Mon, listen I have to ask!",Rachel,surprise,528,0,6,15,"00:17:08,068","00:17:20,288"
5229,"Ohh! And I’m one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani!",Rachel,surprise,528,3,6,15,"00:17:20,456","00:17:29,464"
5237,"I think I can take care of myself, I’ll talk to you later.",Ross,neutral,529,4,6,14,"0:18:06,168","0:18:09,640"
5238,Good-bye.,Ross,neutral,529,5,6,14,"0:18:09,640","0:18:11,054"
5239,Whoa!,Ross,surprise,529,6,6,14,"00:18:12,091","00:18:13,716"
5244,What are you doing here?!,Phoebe Sr,surprise,530,1,3,25,"0:18:58,068","0:18:59,697"
5247,"Umm, okay, okay, look.",Phoebe,neutral,530,4,3,25,"00:19:09,565","00:19:12,358"
