Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,video_clip_path,Utterance_stemmed,Utterance_tokenized,emotion_neutral,emotion_anger,emotion_joy,emotion_sadness,emotion_surprise
2424,Okay?,Phoebe,neutral,238,4,7,14,"0:08:22,919","0:08:23,421",train_data/dia238_utt4.mp4,okay,['okay'],0.49949273,0.11846123,0.11897915,0.24402845,0.018743625
2430,...and live forever as a machine!,Janine,joy,239,2,6,7,"00:21:21,780","00:21:24,198",train_data/dia239_utt2.mp4,... live forev machin,"['...', 'live', 'forev', 'machin']",0.34612116,0.053609196,0.5064981,0.052593436,0.041055787
2431,"That's so Janine, you-you-you know what, do you know we're doing right now?",Ross,joy,239,3,6,7,"00:21:27,286","00:21:32,164",train_data/dia239_utt3.mp4,that 's janin you-you-y know know 're right,"['that', ""'s"", 'janin', 'you-you-y', 'know', 'know', ""'re"", 'right']",0.12984124,0.006184414,0.8467294,0.009765766,0.007454346
2432,"You and I, we're interfacing.",Ross,neutral,239,4,6,7,"00:21:33,583","00:21:36,085",train_data/dia239_utt4.mp4,you i 're interfac,"['you', 'i', ""'re"", 'interfac']",0.6639988,0.0099146115,0.28468624,0.028188849,0.013190535
2436,"Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion.",David,neutral,240,1,9,23,"00:03:47,185","00:03:53,732",train_data/dia240_utt1.mp4,oh certainli that 's combin bernoulli 's principl newton 's third law motion,"['oh', 'certainli', 'that', ""'s"", 'combin', 'bernoulli', ""'s"", 'principl', 'newton', ""'s"", 'third', 'law', 'motion']",0.7316036,0.05614906,0.1427257,0.029884724,0.039593484
2450,"I didn't even think about that!  Aaargh,",Phoebe,anger,241,8,9,22,"00:01:42,519","00:01:47,689",train_data/dia241_utt8.mp4,i n't even think aaargh,"['i', ""n't"", 'even', 'think', 'aaargh']",0.14736553,0.8127419,0.021381548,0.014444237,0.004020055
2457,Hello Skidmark.,Julie,neutral,242,1,7,6,"00:14:03,551","00:14:06,010",train_data/dia242_utt1.mp4,hello skidmark,"['hello', 'skidmark']",0.94558215,0.0117014665,0.022297734,0.0135069955,0.006906719
2466,"All I could think of was yknow, ""Is he gonna kiss me? Is he gonna kiss me?""",Phoebe,joy,245,3,7,18,"00:07:03,131","00:07:06,216",train_data/dia245_utt3.mp4,all i could think yknow `` is gon na kiss is gon na kiss '',"['all', 'i', 'could', 'think', 'y\x92know', '``', 'is', 'gon', 'na', 'kiss', 'is', 'gon', 'na', 'kiss', '``']",0.30019325,0.13896672,0.43918908,0.08123786,0.04033932
2481,"Oh good, youre here. Yeah, and I was worried that it was going to be uncomfortable.",Mona,sadness,246,1,8,8,"00:17:21,582","00:17:26,377",train_data/dia246_utt1.mp4,oh good your yeah i worri go uncomfort,"['oh', 'good', 'you\x92r', 'yeah', 'i', 'worri', 'go', 'uncomfort']",0.43488124,0.12221307,0.09325503,0.32510146,0.024329618
2484,Youre gonna have to tell me how you did that.,Rachel,neutral,246,4,8,8,"00:17:35,763","00:17:37,555",train_data/dia246_utt4.mp4,your gon na tell,"['you\x92r', 'gon', 'na', 'tell']",0.7692203,0.017235817,0.16050576,0.048733737,0.004281286
2487,All right wheres that turkey!,Joey,neutral,247,0,8,9,"00:20:39,780","00:20:42,531",train_data/dia247_utt0.mp4,all right where turkey,"['all', 'right', 'where\x92', 'turkey']",0.676542,0.08240249,0.14438808,0.041683387,0.0549256
2510,And this is what we do!,Joey,neutral,249,11,8,9,"0:02:42,371","0:02:45,895",train_data/dia249_utt11.mp4,and,['and'],0.8613808,0.04265719,0.058898468,0.016877508,0.02014442
2516,Oh! You have a window!,Phoebe,surprise,250,2,1,15,"00:15:11,285","00:15:13,661",train_data/dia250_utt2.mp4,oh you window,"['oh', 'you', 'window']",0.27717903,0.074752875,0.103028275,0.12084644,0.42398182
2526,All right.,Ross,neutral,251,4,3,21,"0:11:56,885","0:11:57,695",train_data/dia251_utt4.mp4,all right,"['all', 'right']",0.9256311,0.03413625,0.012220764,0.004934362,0.023068849
2531,"Let me ask you some questions about, is it, uh, Marcel?",Dr. Baldhara,neutral,252,2,1,21,"00:14:18,691","00:14:21,317",train_data/dia252_utt2.mp4,let ask question uh marcel,"['let', 'ask', 'question', 'uh', 'marcel']",0.8655662,0.027416978,0.06617104,0.034006283,0.006824808
2569,Phoebe come here,Monica,neutral,254,7,9,17,"00:10:07,303","00:10:08,512",train_data/dia254_utt7.mp4,phoeb come,"['phoeb', 'come']",0.4605384,0.18758714,0.16978341,0.1552942,0.026612561
2575,"Well, you never told me how old you were.",Young Ethan,neutral,255,3,1,22,"00:12:48,684","00:12:51,352",train_data/dia255_utt3.mp4,well never told old,"['well', 'never', 'told', 'old']",0.6842707,0.108968064,0.09282608,0.070649564,0.0432026
2581,Sorry.,Young Ethan,sadness,255,9,1,22,"00:13:04,950","00:13:06,951",train_data/dia255_utt9.mp4,sorri,['sorri'],0.07667784,0.023823045,0.022675375,0.8742184,0.00249377
2582,"Well,fall out of it.",Monica,anger,255,10,1,22,"00:13:07,745","00:13:09,162",train_data/dia255_utt10.mp4,well fall,"['well', 'fall']",0.47300434,0.26513693,0.15729307,0.02924013,0.07524439
2597,"Oh Phoebe, thats a great story.",Rachel,neutral,256,9,8,22,"0:02:12,453","0:02:13,955",train_data/dia256_utt9.mp4,oh phoeb that great stori,"['oh', 'phoeb', 'that\x92', 'great', 'stori']",0.8922551,0.013998379,0.06576082,0.023181109,0.0047958815
2617,"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I",Monica,neutral,258,5,5,3,"00:07:28,781","00:07:42,085",train_data/dia258_utt5.mp4,umm actual i tell i i go get hey 're goof around uh mayb i,"['umm', 'actual', 'i', 'tell', 'i', 'i', 'go', 'get', 'hey', ""'re"", 'goof', 'around', 'uh', 'mayb', 'i']",0.785854,0.0394775,0.13052343,0.029688736,0.014408784
2621,MY SANDWICH?!!!,Ross,anger,259,2,5,9,"0:13:31,977","0:13:34,105",train_data/dia259_utt2.mp4,my sandwich,"['my', 'sandwich']",0.22905135,0.5347293,0.19775961,0.01975833,0.01857974
2634,"Well, are any of those people here?!",Phoebe,anger,260,11,3,25,"00:14:48,095","00:14:51,222",train_data/dia260_utt11.mp4,well peopl,"['well', 'peopl']",0.27845544,0.52774924,0.09049721,0.08251384,0.020559633
2636,"I knew it, wow!!",Phoebe Sr.,surprise,261,1,4,1,"00:19:08,021","00:19:10,064",train_data/dia261_utt1.mp4,i knew wow,"['i', 'knew', 'wow']",0.089719184,0.023419214,0.15747233,0.031401433,0.6975482
2647,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.",Chandler,sadness,262,3,1,5,"0:15:27,176","0:15:42,448",train_data/dia262_utt3.mp4,janic hi janic ok go i n't think go anymor janic,"['janic', 'hi', 'janic', 'ok', 'go', 'i', ""n't"", 'think', 'go', 'anymor', 'janic']",0.47308034,0.0640143,0.10073585,0.31347805,0.048563004
2665,"Oh, why dont you make her one of your little jokes.",Ross,anger,264,7,6,17,"00:09:49,630","00:09:52,048",train_data/dia264_utt7.mp4,oh dont make one littl joke,"['oh', 'don\x92t', 'make', 'one', 'littl', 'joke']",0.3882779,0.460054,0.08950997,0.035304353,0.02659569
2670,I made it in the sixth grade.,Ross,neutral,264,12,6,17,"0:10:02,018","0:10:03,374",train_data/dia264_utt12.mp4,i made sixth grade,"['i', 'made', 'sixth', 'grade']",0.6536937,0.0807149,0.21269988,0.03256311,0.020240314
2695,"Well, I brought the next best thing.",Rachel,neutral,270,3,5,16,"00:15:32,765","00:15:34,223",train_data/dia270_utt3.mp4,well i brought next best thing,"['well', 'i', 'brought', 'next', 'best', 'thing']",0.7602425,0.056541733,0.069292255,0.10066438,0.013225722
2703,Well? Aren't you gonna do something?,Katie,neutral,271,7,5,15,"00:15:32,723","00:15:35,224",train_data/dia271_utt7.mp4,well are n't gon na someth,"['well', 'are', ""n't"", 'gon', 'na', 'someth']",0.8144056,0.040579252,0.042945705,0.028402789,0.07364837
2713,I,Phoebe,neutral,272,6,6,1,"00:14:50,139","00:14:51,890",train_data/dia272_utt6.mp4,i,['i'],0.80965805,0.07009548,0.07755167,0.020734506,0.021925423
2723,You told me.,Phoebe,surprise,273,7,6,23,"00:00:18,685","00:00:19,768",train_data/dia273_utt7.mp4,you told,"['you', 'told']",0.68289864,0.0876083,0.11578332,0.026611904,0.08705454
2770,"Uhh, I dont believe in these crazy diets yknow, just everything in moderation.",Joey,neutral,277,0,8,19,"00:10:49,608","00:10:55,781",train_data/dia277_utt0.mp4,uhh i dont believ crazi diet yknow everyth moder,"['uhh', 'i', 'don\x92t', 'believ', 'crazi', 'diet', 'y\x92know', 'everyth', 'moder']",0.71878755,0.07150037,0.11369802,0.0678854,0.028078495
2780,"Yknow, I was worried, that, you know, they would maybe an unbearable living situation.",Phoebe,neutral,278,3,7,10,"00:07:56,017","00:08:00,687",train_data/dia278_utt3.mp4,yknow i worri know would mayb unbear live situat,"['y\x92know', 'i', 'worri', 'know', 'would', 'mayb', 'unbear', 'live', 'situat']",0.7746336,0.057619385,0.0744819,0.079067305,0.014138559
2786,"Whoa-whoa, Treeger made you cry?",Joey,surprise,279,0,4,4,"00:02:51,880","00:02:54,715",train_data/dia279_utt0.mp4,whoa-whoa treeger made cri,"['whoa-whoa', 'treeger', 'made', 'cri']",0.28425682,0.075071774,0.094686754,0.03520734,0.5105717
2791,"All right thats it, school is in session!",Joey,neutral,279,5,4,4,"00:03:09,772","00:03:13,108",train_data/dia279_utt5.mp4,all right that school session,"['all', 'right', 'that\x92', 'school', 'session']",0.703055,0.12503141,0.11204641,0.025820075,0.033987913
2792,My God! Is this a gym card?,Monica,surprise,279,6,4,4,"00:03:15,361","00:03:17,863",train_data/dia279_utt6.mp4,my god is gym card,"['my', 'god', 'is', 'gym', 'card']",0.44087622,0.09590505,0.20215064,0.032071818,0.22883403
2807,Anybody gonna eat that?,Joey,neutral,280,2,5,12,"00:02:25,478","00:02:27,271",train_data/dia280_utt2.mp4,anybodi gon na eat,"['anybodi', 'gon', 'na', 'eat']",0.93940896,0.008271,0.03723677,0.010050719,0.005019861
2810,"Listen, you know how uh, when youre wearing pants and you lean forward I check out your underwear?",Joey,neutral,281,2,7,22,"00:07:58,144","00:08:03,565",train_data/dia281_utt2.mp4,listen know uh your wear pant lean forward i check underwear,"['listen', 'know', 'uh', 'you\x92r', 'wear', 'pant', 'lean', 'forward', 'i', 'check', 'underwear']",0.809612,0.04376475,0.09473248,0.037467785,0.014402713
2831,I dont know.  A cowboy theme?,Phoebe,neutral,284,2,7,19,"0:05:18,826","0:05:21,627",train_data/dia284_utt2.mp4,i dont know a cowboy theme,"['i', 'don\x92t', 'know', 'a', 'cowboy', 'theme']",0.83720315,0.119803466,0.030368151,0.0041847867,0.008425443
2842,"Im sorry honey, what were you saying?",Rachel,neutral,285,10,9,1,"0:08:45,608","0:08:47,193",train_data/dia285_utt10.mp4,im sorri honey say,"['i\x92m', 'sorri', 'honey', 'say']",0.9230615,0.02133167,0.030090094,0.012038443,0.013466826
2846,She looks scared.,Rachel,neutral,285,14,9,1,"0:08:59,705","0:09:00,957",train_data/dia285_utt14.mp4,she look scare,"['she', 'look', 'scare']",0.8030904,0.051516477,0.10647334,0.009979038,0.028926117
2875,Did you tell your sister to ask me out?,Ross,neutral,288,9,6,13,"00:16:00,250","00:16:02,502",train_data/dia288_utt9.mp4,did tell sister ask,"['did', 'tell', 'sister', 'ask']",0.7532439,0.05622467,0.07360677,0.040226202,0.07666136
2877,Oh wow!,Ross,surprise,288,11,6,13,"0:16:04,564","0:16:05,456",train_data/dia288_utt11.mp4,oh wow,"['oh', 'wow']",0.42306164,0.13715705,0.232332,0.023610357,0.18366764
2892,Chandler?,Phoebe,neutral,289,5,7,13,"00:09:56,554","00:09:58,138",train_data/dia289_utt5.mp4,chandler,['chandler'],0.8451231,0.05035464,0.08400136,0.017879685,0.002542764
2915,"Okay, but if I got to turn on the charm tomorrow Im not wasting anymore of it over here with you guys.",Joey,neutral,293,7,6,21,"00:13:13,542","00:13:18,087",train_data/dia293_utt7.mp4,okay i got turn charm tomorrow im wast anymor guy,"['okay', 'i', 'got', 'turn', 'charm', 'tomorrow', 'i\x92m', 'wast', 'anymor', 'guy']",0.5996649,0.09995772,0.19704314,0.061187476,0.0420172
2928,"No, Im gonna!!",Joey,anger,295,5,7,11,"00:14:00,881","00:14:02,423",train_data/dia295_utt5.mp4,no im gon na,"['no', 'i\x92m', 'gon', 'na']",0.051367544,0.87177855,0.041245893,0.02913205,0.0062744003
2936,"Well, she graduated from high school!",Joey,anger,295,13,7,11,"00:14:23,737","00:14:26,364",train_data/dia295_utt13.mp4,well graduat high school,"['well', 'graduat', 'high', 'school']",0.14638317,0.78373706,0.050321292,0.010810923,0.008657828
2945,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross,neutral,296,0,1,2,"00:14:38,085","00:14:41,546",train_data/dia296_utt0.mp4,sorri i 'm late i stuck work there big dinosaur .. thing .. anyway,"['sorri', 'i', ""'m"", 'late', 'i', 'stuck', 'work', 'there', 'big', 'dinosaur', '..', 'thing', '..', 'anyway']",0.6989586,0.09711443,0.14017023,0.0415042,0.02219838
2948,How could I forget?,Ross,surprise,296,3,1,2,"0:14:46,690","0:14:47,832",train_data/dia296_utt3.mp4,how could i forget,"['how', 'could', 'i', 'forget']",0.31191394,0.09731989,0.2316512,0.08306327,0.2758862
2956,"Okay, that's great.  No, I'm- Oh.",Ross,joy,296,11,1,2,"00:15:09,450","00:15:14,704",train_data/dia296_utt11.mp4,okay 's great no i'm- oh,"['okay', ""'s"", 'great', 'no', ""i'm-"", 'oh']",0.2780885,0.040479496,0.62202895,0.041513372,0.017812347
2961,C'mon in.,Barry,neutral,296,16,1,2,"0:15:46,279","0:15:48,348",train_data/dia296_utt16.mp4,c'mon,"[""c'mon""]",0.79765344,0.052134134,0.08476398,0.05264458,0.012747385
2964,Huh?!,Robbie,surprise,296,19,1,2,"00:15:52,326","00:15:53,493",train_data/dia296_utt19.mp4,huh,['huh'],0.642626,0.046427943,0.23678552,0.04576238,0.028309098
2965,"So, how ya doin?",Barry,neutral,296,20,1,2,"00:15:56,705","00:15:58,414",train_data/dia296_utt20.mp4,so ya doin,"['so', 'ya', 'doin']",0.6776755,0.081273355,0.14172965,0.062697865,0.036551274
2988,Ive got five bucks says you cant.,Chandler,neutral,299,3,3,5,"00:21:51,935","00:21:54,562",train_data/dia299_utt3.mp4,iv got five buck say cant,"['i\x92v', 'got', 'five', 'buck', 'say', 'can\x92t']",0.7106553,0.11866517,0.10500889,0.03745178,0.028161343
2998,"Oh, shut up. You know, it's a rebuilding year. You... waah!",Lydia,anger,300,9,1,23,"00:04:08,081","00:04:11,875",train_data/dia300_utt9.mp4,oh shut you know 's rebuild year you ... waah,"['oh', 'shut', 'you', 'know', ""'s"", 'rebuild', 'year', 'you', '...', 'waah']",0.37479222,0.43139395,0.101678774,0.06458932,0.027364915
3030,"No, I can spot you from here.",Phoebe,neutral,302,8,3,13,"00:17:26,962","00:17:29,505",train_data/dia302_utt8.mp4,no i spot,"['no', 'i', 'spot']",0.7774326,0.07330545,0.069295615,0.027061094,0.052848898
3033,I dont have time for this.,Phoebe,anger,303,0,2,5,"00:11:10,795","00:11:12,921",train_data/dia303_utt0.mp4,i dont time,"['i', 'don\x92t', 'time']",0.30191064,0.48285994,0.13922518,0.047595117,0.02830263
3038,"Oh, just this!  Yknow what its my fault really, because the couch is usually where we",Chandler,neutral,304,3,3,5,"00:11:21,430","00:11:37,529",train_data/dia304_utt3.mp4,oh yknow it fault realli couch usual,"['oh', 'y\x92know', 'it\x92', 'fault', 'realli', 'couch', 'usual']",0.7625108,0.07049132,0.1110228,0.033626866,0.022295684
3049,"Uh, y'know what, were having second thoughts about our copying needs. And well need a little more time to think about it.",Joey,neutral,305,3,3,15,"00:02:44,622","00:02:54,756",train_data/dia305_utt3.mp4,uh y'know wer second thought copi need and well need littl time think,"['uh', ""y'know"", 'we\x92r', 'second', 'thought', 'copi', 'need', 'and', 'we\x92ll', 'need', 'littl', 'time', 'think']",0.7880316,0.075700276,0.07132791,0.03984135,0.025065757
3055,Both of us?,Joey,surprise,305,9,3,15,"00:03:11,983","00:03:13,358",train_data/dia305_utt9.mp4,both us,"['both', 'us']",0.3340934,0.07156092,0.054400235,0.035028372,0.5048055
3058,Well be there.,Joey,joy,305,12,3,15,"00:03:24,037","00:03:25,996",train_data/dia305_utt12.mp4,well,['we\x92ll'],0.5636015,0.09447429,0.1995348,0.09746861,0.044787984
3073,"No! Yknow,",Monica,neutral,307,3,4,17,"00:04:16,673","00:04:18,000",train_data/dia307_utt3.mp4,no yknow,"['no', 'y\x92know']",0.93728465,0.01971036,0.0233203,0.0033818071,0.01628964
3074,Is that why in junior high you were the only one that hung out with that Ukrainian kid?,Ross,neutral,307,4,4,17,"00:04:25,098","00:04:29,601",train_data/dia307_utt4.mp4,is junior high one hung ukrainian kid,"['is', 'junior', 'high', 'one', 'hung', 'ukrainian', 'kid']",0.871383,0.02014711,0.082883544,0.016368894,0.00918772
3084,So basically this is very easy. You read from the script and try to sell as much toner as you possibly can.,Supervisor,neutral,308,0,7,13,"00:04:13,544","00:04:19,341",train_data/dia308_utt0.mp4,so basic easi you read script tri sell much toner possibl,"['so', 'basic', 'easi', 'you', 'read', 'script', 'tri', 'sell', 'much', 'toner', 'possibl']",0.8563154,0.02375946,0.069898024,0.022377294,0.027634189
3086,Why dont we do a trial run.,Supervisor,neutral,308,2,7,13,"00:04:25,014","00:04:28,141",train_data/dia308_utt2.mp4,whi dont trial run,"['whi', 'don\x92t', 'trial', 'run']",0.71684766,0.09455723,0.11817853,0.04218026,0.028184729
3112,Oh!,Rachel,surprise,311,10,4,9,"00:00:37,078","00:00:38,746",train_data/dia311_utt10.mp4,oh,['oh'],0.0804471,0.07479524,0.040256772,0.046243154,0.7580558
3128,What?!,Ross,sadness,312,13,3,25,"00:17:07,609","00:17:08,735",train_data/dia312_utt13.mp4,what,['what'],0.43882105,0.054373603,0.07191511,0.41689324,0.017850837
3133,But I made cards!!,Joey,sadness,312,18,3,25,"00:17:31,967","00:17:34,052",train_data/dia312_utt18.mp4,but i made card,"['but', 'i', 'made', 'card']",0.20912603,0.11608719,0.09525387,0.5262551,0.052938808
3155,Remember that guy from cooking school I told you about that put cilantro with everything?,Monica,neutral,315,0,4,9,"00:01:38,056","00:01:41,308",train_data/dia315_utt0.mp4,rememb guy cook school i told put cilantro everyth,"['rememb', 'guy', 'cook', 'school', 'i', 'told', 'put', 'cilantro', 'everyth']",0.70730275,0.014676207,0.12673907,0.028457662,0.12279594
3169,Hello.,Joey,neutral,316,3,4,8,"00:00:16,516","00:00:18,100",train_data/dia316_utt3.mp4,hello,['hello'],0.87654716,0.016627604,0.028408078,0.072930835,0.005431732
3174,"What is the name of your roommate who is very, very sorry and would do anything",Voice,neutral,316,8,4,8,"00:00:35,869","00:00:41,874",train_data/dia316_utt8.mp4,what name roommat sorri would anyth,"['what', 'name', 'roommat', 'sorri', 'would', 'anyth']",0.8510763,0.025001023,0.09160915,0.015173167,0.017110573
3180,"Hey, yknow what nickname never caught on? The Ross-A-Tron!",Ross,joy,317,5,7,11,"0:03:48,228","0:03:51,750",train_data/dia317_utt5.mp4,hey yknow nicknam never caught the ross-a-tron,"['hey', 'y\x92know', 'nicknam', 'never', 'caught', 'the', 'ross-a-tron']",0.097332045,0.0985572,0.79198104,0.006429809,0.005621
3197,"Ooh, nice.",Monica,joy,319,1,3,23,"00:17:40,476","00:17:42,977",train_data/dia319_utt1.mp4,ooh nice,"['ooh', 'nice']",0.59215736,0.08845292,0.17836559,0.058394432,0.08256503
3198,"So ah, there was this thing I wanted to talk to you about.",Pete,neutral,319,2,3,23,"00:17:43,145","00:17:46,564",train_data/dia319_utt2.mp4,so ah thing i want talk,"['so', 'ah', 'thing', 'i', 'want', 'talk']",0.7437157,0.07102545,0.08107673,0.048152186,0.055976998
3232,"Or with the other two women, in the morning yknow I was just lying there and I couldnt wait to just go hang out with my friends, but with you I always yknow with a friend.",Chandler,neutral,320,11,6,16,"00:20:36,944","00:20:48,287",train_data/dia320_utt11.mp4,or two women morn yknow i lie i couldnt wait go hang friend i alway yknow friend,"['or', 'two', 'women', 'morn', 'y\x92know', 'i', 'lie', 'i', 'couldn\x92t', 'wait', 'go', 'hang', 'friend', 'i', 'alway', 'y\x92know', 'friend']",0.75964093,0.046111155,0.08400044,0.07320474,0.036994822
3234,"I know you probably dont want to go out with me, yknow because I make too many jokes and Ive never been in a serious relationship and I guess Im not technically a ""doctor""",Chandler,sadness,320,13,6,16,"00:20:49,122","00:20:59,423",train_data/dia320_utt13.mp4,i know probabl dont want go yknow i make mani joke iv never seriou relationship i guess im technic `` doctor '',"['i', 'know', 'probabl', 'don\x92t', 'want', 'go', 'y\x92know', 'i', 'make', 'mani', 'joke', 'i\x92v', 'never', 'seriou', 'relationship', 'i', 'guess', 'i\x92m', 'technic', '``', 'doctor', '``']",0.47045147,0.09468009,0.1759829,0.21016392,0.048537437
3267,Now you know how you really feel about it.,Phoebe,neutral,326,3,8,1,"0:21:03,178","0:21:05,100",train_data/dia326_utt3.mp4,now know realli feel,"['now', 'know', 'realli', 'feel']",0.7070675,0.0746696,0.14310436,0.041902624,0.033197783
3271,With who?,Phoebe,neutral,326,7,8,1,"0:21:30,330","0:21:30,789",train_data/dia326_utt7.mp4,with,['with'],0.5007177,0.07596783,0.35572943,0.030972358,0.036578864
3296,Oh really?! Then how come all your stuff is in this box?!,Rachel,surprise,329,5,6,6,"00:13:15,628","00:13:18,671",train_data/dia329_utt5.mp4,oh realli then come stuff box,"['oh', 'realli', 'then', 'come', 'stuff', 'box']",0.3811616,0.13366377,0.15383576,0.03434497,0.29684368
3298,No Phoebe I am mad!,Monica,anger,329,7,6,6,"0:13:33,854","0:13:35,106",train_data/dia329_utt7.mp4,no phoeb i mad,"['no', 'phoeb', 'i', 'mad']",0.64087605,0.076597,0.22261886,0.018513024,0.041360572
3329,Wait a minute!,Ross,surprise,332,11,8,1,"0:22:05,407","0:22:06,089",train_data/dia332_utt11.mp4,wait minut,"['wait', 'minut']",0.19203652,0.039900854,0.39226854,0.02475933,0.3509356
3339,"Only the people in the white coats sit over there,  and only the people in the blue blazers sit here.",Tour Guide,neutral,333,4,4,11,"00:10:27,376","00:10:34,758",train_data/dia333_utt4.mp4,onli peopl white coat sit peopl blue blazer sit,"['onli', 'peopl', 'white', 'coat', 'sit', 'peopl', 'blue', 'blazer', 'sit']",0.73094267,0.087372474,0.1036194,0.04250656,0.03551039
3345,"Oh no its fine, dont worry about it.",Kathy,neutral,334,5,4,7,"00:10:11,736","00:10:14,613",train_data/dia334_utt5.mp4,oh it fine dont worri,"['oh', 'it\x92', 'fine', 'don\x92t', 'worri']",0.6363564,0.08031891,0.22692825,0.03656702,0.019777862
3361,"Ross, but me down for another box of the mint treasures, okay. Where, where are the mint treasures?",Monica,neutral,336,2,3,10,"00:12:13,649","00:12:20,071",train_data/dia336_utt2.mp4,ross anoth box mint treasur okay where mint treasur,"['ross', 'anoth', 'box', 'mint', 'treasur', 'okay', 'where', 'mint', 'treasur']",0.789539,0.076885164,0.08604148,0.036149487,0.011353278
3366,"No, just, just, just a couple more boxes.",Monica,anger,336,7,3,10,"00:12:29,915","00:12:35,211",train_data/dia336_utt7.mp4,no coupl box,"['no', 'coupl', 'box']",0.23684384,0.65858763,0.049910706,0.009442191,0.045137156
3370,Oh God!,Monica,sadness,336,11,3,10,"00:12:48,184","00:12:49,225",train_data/dia336_utt11.mp4,oh god,"['oh', 'god']",0.32226554,0.087429345,0.12876572,0.40058318,0.060397163
3373,"Oh my God, how did you do that?",Chandler,surprise,336,14,3,10,"00:12:55,566","00:12:59,819",train_data/dia336_utt14.mp4,oh god,"['oh', 'god']",0.25436744,0.056640673,0.10369683,0.020645881,0.56454396
3387,Score! Where are the disposable cameras?,Chandler,joy,337,5,8,2,"00:03:12,442","00:03:18,488",train_data/dia337_utt5.mp4,score where dispos camera,"['score', 'where', 'dispos', 'camera']",0.32978517,0.06713561,0.43056118,0.112088986,0.060261924
3388,What disposable cameras?,Ross,sadness,337,6,8,2,"00:03:15,236","00:03:18,488",train_data/dia337_utt6.mp4,what dispos camera,"['what', 'dispos', 'camera']",0.40910497,0.11041621,0.23865598,0.20309651,0.038504004
3389,The cameras? Remember last night I told you to take them?,Chandler,surprise,337,7,8,2,"00:03:18,656","00:03:20,699",train_data/dia337_utt7.mp4,the camera rememb last night i told take,"['the', 'camera', 'rememb', 'last', 'night', 'i', 'told', 'take']",0.43788007,0.11300777,0.16608723,0.08287467,0.19992636
3392,"Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check.",Ross,neutral,337,10,8,2,"00:03:25,246","00:03:31,001",train_data/dia337_utt10.mp4,oh-oh yeah you-you came ask i could favor uncl murray came hand check,"['oh-oh', 'yeah', 'you-you', 'came', 'ask', 'i', 'could', 'favor', 'uncl', 'murray', 'came', 'hand', 'check']",0.8095704,0.089736596,0.06504314,0.028488033,0.0071328264
3396,So you dont have the cameras?!,Chandler,surprise,337,14,8,2,"0:03:40,512","0:03:43,464",train_data/dia337_utt14.mp4,so dont camera,"['so', 'don\x92t', 'camera']",0.1388932,0.024412705,0.12822136,0.036900762,0.6712516
3408,"This-this, no, oh no, no-no-no, this is notthats-thats not what it is.",Rachel,joy,338,4,4,18,"00:15:53,994","00:15:58,873",train_data/dia338_utt4.mp4,this-thi oh no-no-no notthats-that,"['this-thi', 'oh', 'no-no-no', 'not\x97that\x92s-that\x92']",0.20330042,0.03584294,0.7352389,0.013769566,0.011816834
3424,Enough!,Monica,anger,339,3,4,10,"00:21:02,010","00:21:03,469",train_data/dia339_utt3.mp4,enough,['enough'],0.431754,0.26628762,0.20322567,0.023621272,0.074968755
3425,Lean lean lean,Joey,joy,339,4,4,10,"00:21:04,846","00:21:07,390",train_data/dia339_utt4.mp4,lean lean lean,"['lean', 'lean', 'lean']",0.20220211,0.13847536,0.6199848,0.016640378,0.022634864
3430,"No! No, fear of the number 13.",Joey,neutral,342,2,8,20,"00:07:28,936","00:07:33,316",train_data/dia342_utt2.mp4,no no fear number 13,"['no', 'no', 'fear', 'number', '13']",0.7758428,0.059537206,0.122460775,0.022205599,0.019924862
3442,"Choose, you jackass!",Joey,anger,342,13,8,20,"0:08:05,765","0:08:08,702",train_data/dia342_utt13.mp4,choos jackass,"['choos', 'jackass']",0.24229172,0.57502186,0.12963745,0.030029235,0.022956805
3443,Ill take a card.,Chandler,neutral,342,14,8,20,"00:08:09,644","00:08:13,272",train_data/dia342_utt14.mp4,ill take card,"['i\x92ll', 'take', 'card']",0.7489166,0.05484911,0.1260407,0.0364906,0.03365169
3452,Okay.,Joey,neutral,344,2,5,17,"0:02:17,554","0:02:19,218",train_data/dia344_utt2.mp4,okay,['okay'],0.8523305,0.053705588,0.07288223,0.010962795,0.010110175
3461,She's waving me over.,Joey,joy,344,11,5,17,"0:02:52,673","0:02:53,765",train_data/dia344_utt11.mp4,she 's wave,"['she', ""'s"", 'wave']",0.40571067,0.06512428,0.49869284,0.027495673,0.002949165
3462,"Okay, I-I-I'll be right over.",Joey,joy,344,12,5,17,"0:02:53,765","0:02:55,362",train_data/dia344_utt12.mp4,okay i-i-i 'll right,"['okay', 'i-i-i', ""'ll"", 'right']",0.2896579,0.03765003,0.6344012,0.02704118,0.01119912
